image_name,label
C:\Users\HuiFang\Desktop\Year 3\Spring\Computer Vision\CW\PytorchCorrespondanceAndClassification\Classification\Methods\Hog_svm/../../../Data/ProcessedData/SIFT_try/Training/Bad_seeds/S1\Seed1\front.jpg,0
C:\Users\HuiFang\Desktop\Year 3\Spring\Computer Vision\CW\PytorchCorrespondanceAndClassification\Classification\Methods\Hog_svm/../../../Data/ProcessedData/SIFT_try/Training/Bad_seeds/S1\Seed1\left.jpg,0
C:\Users\HuiFang\Desktop\Year 3\Spring\Computer Vision\CW\PytorchCorrespondanceAndClassification\Classification\Methods\Hog_svm/../../../Data/ProcessedData/SIFT_try/Training/Bad_seeds/S1\Seed1\rear.jpg,0
C:\Users\HuiFang\Desktop\Year 3\Spring\Computer Vision\CW\PytorchCorrespondanceAndClassification\Classification\Methods\Hog_svm/../../../Data/ProcessedData/SIFT_try/Training/Bad_seeds/S1\Seed1\right.jpg,0
C:\Users\HuiFang\Desktop\Year 3\Spring\Computer Vision\CW\PytorchCorrespondanceAndClassification\Classification\Methods\Hog_svm/../../../Data/ProcessedData/SIFT_try/Training/Bad_seeds/S1\Seed1\top.jpg,0
C:\Users\HuiFang\Desktop\Year 3\Spring\Computer Vision\CW\PytorchCorrespondanceAndClassification\Classification\Methods\Hog_svm/../../../Data/ProcessedData/SIFT_try/Training/Bad_seeds/S1\Seed2\front.jpg,0
C:\Users\HuiFang\Desktop\Year 3\Spring\Computer Vision\CW\PytorchCorrespondanceAndClassification\Classification\Methods\Hog_svm/../../../Data/ProcessedData/SIFT_try/Training/Bad_seeds/S1\Seed2\left.jpg,0
C:\Users\HuiFang\Desktop\Year 3\Spring\Computer Vision\CW\PytorchCorrespondanceAndClassification\Classification\Methods\Hog_svm/../../../Data/ProcessedData/SIFT_try/Training/Bad_seeds/S1\Seed2\rear.jpg,0
C:\Users\HuiFang\Desktop\Year 3\Spring\Computer Vision\CW\PytorchCorrespondanceAndClassification\Classification\Methods\Hog_svm/../../../Data/ProcessedData/SIFT_try/Training/Bad_seeds/S1\Seed2\right.jpg,0
C:\Users\HuiFang\Desktop\Year 3\Spring\Computer Vision\CW\PytorchCorrespondanceAndClassification\Classification\Methods\Hog_svm/../../../Data/ProcessedData/SIFT_try/Training/Bad_seeds/S1\Seed2\top.jpg,0
C:\Users\HuiFang\Desktop\Year 3\Spring\Computer Vision\CW\PytorchCorrespondanceAndClassification\Classification\Methods\Hog_svm/../../../Data/ProcessedData/SIFT_try/Training/Bad_seeds/S1\Seed3\front.jpg,0
C:\Users\HuiFang\Desktop\Year 3\Spring\Computer Vision\CW\PytorchCorrespondanceAndClassification\Classification\Methods\Hog_svm/../../../Data/ProcessedData/SIFT_try/Training/Bad_seeds/S1\Seed3\left.jpg,0
C:\Users\HuiFang\Desktop\Year 3\Spring\Computer Vision\CW\PytorchCorrespondanceAndClassification\Classification\Methods\Hog_svm/../../../Data/ProcessedData/SIFT_try/Training/Bad_seeds/S1\Seed3\rear.jpg,0
C:\Users\HuiFang\Desktop\Year 3\Spring\Computer Vision\CW\PytorchCorrespondanceAndClassification\Classification\Methods\Hog_svm/../../../Data/ProcessedData/SIFT_try/Training/Bad_seeds/S1\Seed3\right.jpg,0
C:\Users\HuiFang\Desktop\Year 3\Spring\Computer Vision\CW\PytorchCorrespondanceAndClassification\Classification\Methods\Hog_svm/../../../Data/ProcessedData/SIFT_try/Training/Bad_seeds/S1\Seed3\top.jpg,0
C:\Users\HuiFang\Desktop\Year 3\Spring\Computer Vision\CW\PytorchCorrespondanceAndClassification\Classification\Methods\Hog_svm/../../../Data/ProcessedData/SIFT_try/Training/Bad_seeds/S1\Seed4\front.jpg,0
C:\Users\HuiFang\Desktop\Year 3\Spring\Computer Vision\CW\PytorchCorrespondanceAndClassification\Classification\Methods\Hog_svm/../../../Data/ProcessedData/SIFT_try/Training/Bad_seeds/S1\Seed4\left.jpg,0
C:\Users\HuiFang\Desktop\Year 3\Spring\Computer Vision\CW\PytorchCorrespondanceAndClassification\Classification\Methods\Hog_svm/../../../Data/ProcessedData/SIFT_try/Training/Bad_seeds/S1\Seed4\rear.jpg,0
C:\Users\HuiFang\Desktop\Year 3\Spring\Computer Vision\CW\PytorchCorrespondanceAndClassification\Classification\Methods\Hog_svm/../../../Data/ProcessedData/SIFT_try/Training/Bad_seeds/S1\Seed4\right.jpg,0
C:\Users\HuiFang\Desktop\Year 3\Spring\Computer Vision\CW\PytorchCorrespondanceAndClassification\Classification\Methods\Hog_svm/../../../Data/ProcessedData/SIFT_try/Training/Bad_seeds/S1\Seed4\top.jpg,0
C:\Users\HuiFang\Desktop\Year 3\Spring\Computer Vision\CW\PytorchCorrespondanceAndClassification\Classification\Methods\Hog_svm/../../../Data/ProcessedData/SIFT_try/Training/Bad_seeds/S1\Seed5\front.jpg,0
C:\Users\HuiFang\Desktop\Year 3\Spring\Computer Vision\CW\PytorchCorrespondanceAndClassification\Classification\Methods\Hog_svm/../../../Data/ProcessedData/SIFT_try/Training/Bad_seeds/S1\Seed5\left.jpg,0
C:\Users\HuiFang\Desktop\Year 3\Spring\Computer Vision\CW\PytorchCorrespondanceAndClassification\Classification\Methods\Hog_svm/../../../Data/ProcessedData/SIFT_try/Training/Bad_seeds/S1\Seed5\rear.jpg,0
